integration,direction,mechanism,evidence,source_file,target_context,owner_role,owner_status
partyCommunicationEventPermissionCheck,outbound-or-adapter-review-required,rmi,groovy:component://party/src/main/groovy/org/apache/ofbiz/party/party/PartyPermissionServices.groovy:partyCommunicationEventPermissionCheck,applications/party/servicedef/services.xml,party-customer,customer-product-team,provisional-repository-inferred
createUpdatePartyEmailAddress,outbound-or-adapter-review-required,email;mail,simple:component://party/minilang/contact/PartyContactMechServices.xml:createUpdatePartyEmailAddress,applications/party/servicedef/services.xml,party-customer,customer-product-team,provisional-repository-inferred
sendContactUsEmailToCompany,outbound-or-adapter-review-required,email;mail,groovy:component://party/src/main/groovy/org/apache/ofbiz/party/communication/CommunicationEventServicesScript.groovy:sendContactUsEmailToCompany,applications/party/servicedef/services.xml,party-customer,customer-product-team,provisional-repository-inferred
sendAccountActivatedEmailNotification,outbound-or-adapter-review-required,email;mail,groovy:component://party/src/main/groovy/org/apache/ofbiz/party/party/PartyServicesScript.groovy:sendAccountActivatedEmailNotification,applications/party/servicedef/services.xml,party-customer,customer-product-team,provisional-repository-inferred
createEmailAddress,outbound-or-adapter-review-required,email;mail,groovy:component://party/src/main/groovy/org/apache/ofbiz/party/contact/ContactMechServicesScript.groovy:createEmailAddress,applications/party/servicedef/services_contact.xml,party-customer,customer-product-team,provisional-repository-inferred
updateEmailAddress,outbound-or-adapter-review-required,email;mail,groovy:component://party/src/main/groovy/org/apache/ofbiz/party/contact/ContactMechServicesScript.groovy:updateEmailAddress,applications/party/servicedef/services_contact.xml,party-customer,customer-product-team,provisional-repository-inferred
createFtpAddress,outbound-or-adapter-review-required,ftp,groovy:component://party/src/main/groovy/org/apache/ofbiz/party/contact/ContactMechServicesScript.groovy:createFtpAddress,applications/party/servicedef/services_contact.xml,party-customer,customer-product-team,provisional-repository-inferred
updateFtpAddressWithHistory,outbound-or-adapter-review-required,ftp,groovy:component://party/src/main/groovy/org/apache/ofbiz/party/contact/ContactMechServicesScript.groovy:updateFtpAddressWithHistory,applications/party/servicedef/services_contact.xml,party-customer,customer-product-team,provisional-repository-inferred
getPartiesFromExactEmail,outbound-or-adapter-review-required,email;mail,java:org.apache.ofbiz.party.party.PartyServices:getPartiesFromExactEmail,applications/party/servicedef/services_view.xml,party-customer,customer-product-team,provisional-repository-inferred
getPartiesFromPartOfEmail,outbound-or-adapter-review-required,email;mail,java:org.apache.ofbiz.party.party.PartyServices:getPartiesFromPartOfEmail,applications/party/servicedef/services_view.xml,party-customer,customer-product-team,provisional-repository-inferred
createEmailContentForProduct,outbound-or-adapter-review-required,email;mail,groovy:component://product/src/main/groovy/org/apache/ofbiz/product/product/product/ProductContentServicesScript.groovy:createEmailContentForProduct,applications/product/servicedef/services.xml,product-catalog,catalog-product-team,provisional-repository-inferred
updateEmailContentForProduct,outbound-or-adapter-review-required,email;mail,group,applications/product/servicedef/services.xml,product-catalog,catalog-product-team,provisional-repository-inferred
productGenericPermission,outbound-or-adapter-review-required,rmi,groovy:component://product/src/main/groovy/org/apache/ofbiz/product/product/product/ProductServicesScript.groovy:productGenericPermission,applications/product/servicedef/services.xml,product-catalog,catalog-product-team,provisional-repository-inferred
productCategoryGenericPermission,outbound-or-adapter-review-required,rmi,groovy:component://product/src/main/groovy/org/apache/ofbiz/product/product/category/CategoryServicesScript.groovy:productCategoryGenericPermission,applications/product/servicedef/services.xml,product-catalog,catalog-product-team,provisional-repository-inferred
productPriceGenericPermission,outbound-or-adapter-review-required,rmi,groovy:component://product/src/main/groovy/org/apache/ofbiz/product/product/product/ProductServicesScript.groovy:productPriceGenericPermission,applications/product/servicedef/services.xml,product-catalog,catalog-product-team,provisional-repository-inferred
checkCategoryPermissionWithViewPurchaseAllow,outbound-or-adapter-review-required,rmi,groovy:component://product/src/main/groovy/org/apache/ofbiz/product/product/category/CategoryServicesScript.groovy:checkCategoryPermissionWithViewPurchaseAllow,applications/product/servicedef/services.xml,product-catalog,catalog-product-team,provisional-repository-inferred
catalogPermissionCheck,outbound-or-adapter-review-required,rmi,groovy:component://product/src/main/groovy/org/apache/ofbiz/product/product/catalog/CatalogServices.groovy:catalogPermissionCheck,applications/product/servicedef/services.xml,product-catalog,catalog-product-team,provisional-repository-inferred
prodCatalogToPartyPermissionCheck,outbound-or-adapter-review-required,rmi,groovy:component://product/src/main/groovy/org/apache/ofbiz/product/product/catalog/CatalogServices.groovy:prodCatalogToPartyPermissionCheck,applications/product/servicedef/services.xml,product-catalog,catalog-product-team,provisional-repository-inferred
checkProductRelatedPermission,outbound-or-adapter-review-required,rmi,groovy:component://product/src/main/groovy/org/apache/ofbiz/product/product/product/ProductServicesScript.groovy:checkProductRelatedPermissionService,applications/product/servicedef/services.xml,product-catalog,catalog-product-team,provisional-repository-inferred
facilityGenericPermission,outbound-or-adapter-review-required,rmi,groovy:component://product/src/main/groovy/org/apache/ofbiz/product/product/inventory/InventoryServicesScript.groovy:facilityGenericPermission,applications/product/servicedef/services_facility.xml,inventory-facility,inventory-product-team,provisional-repository-inferred
checkProductFacilityRelatedPermission,outbound-or-adapter-review-required,rmi,groovy:component://product/src/main/groovy/org/apache/ofbiz/product/product/inventory/InventoryServicesScript.groovy:checkProductFacilityRelatedPermission,applications/product/servicedef/services_facility.xml,inventory-facility,inventory-product-team,provisional-repository-inferred
createFacilityEmailAddress,outbound-or-adapter-review-required,email;mail,simple:component://product/minilang/product/storage/FacilityContactMechServices.xml:createFacilityEmailAddress,applications/product/servicedef/services_facility.xml,inventory-facility,inventory-product-team,provisional-repository-inferred
updateFacilityEmailAddress,outbound-or-adapter-review-required,email;mail,simple:component://product/minilang/product/storage/FacilityContactMechServices.xml:updateFacilityEmailAddress,applications/product/servicedef/services_facility.xml,inventory-facility,inventory-product-team,provisional-repository-inferred
migrateProductPromoCodeEmail,outbound-or-adapter-review-required,email;mail,java:org.apache.ofbiz.product.migrate.MigrationServices:migrateProductPromoCodeEmail,applications/product/servicedef/services_migration.xml,product-catalog,catalog-product-team,provisional-repository-inferred
facilityPermissionCheck,outbound-or-adapter-review-required,rmi,simple:component://product/minilang/permission/PermissionServices.xml:facilityPermissionCheck,applications/product/servicedef/services_perm.xml,product-catalog,catalog-product-team,provisional-repository-inferred
createBulkProductPromoCodeEmail,outbound-or-adapter-review-required,email;mail,java:org.apache.ofbiz.product.promo.PromoServices:importPromoCodeEmailsFromFile,applications/product/servicedef/services_pricepromo.xml,pricing-promotions,pricing-product-team,provisional-repository-inferred
createProductStoreEmailSetting,outbound-or-adapter-review-required,email;mail,entity-auto:create,applications/product/servicedef/services_store.xml,product-catalog,catalog-product-team,provisional-repository-inferred
updateProductStoreEmailSetting,outbound-or-adapter-review-required,email;mail,entity-auto:update,applications/product/servicedef/services_store.xml,product-catalog,catalog-product-team,provisional-repository-inferred
removeProductStoreEmailSetting,outbound-or-adapter-review-required,email;mail,entity-auto:delete,applications/product/servicedef/services_store.xml,product-catalog,catalog-product-team,provisional-repository-inferred
productStoreGenericPermission,outbound-or-adapter-review-required,rmi,groovy:component://product/src/main/groovy/org/apache/ofbiz/product/product/store/ProductStoreServices.groovy:productStoreGenericPermission,applications/product/servicedef/services_store.xml,product-catalog,catalog-product-team,provisional-repository-inferred
subscriptionPermissionCheck,outbound-or-adapter-review-required,rmi,groovy:component://product/src/main/groovy/org/apache/ofbiz/product/product/subscription/SubscriptionServicesScript.groovy:subscriptionPermissionCheck,applications/product/servicedef/services_subscription.xml,product-catalog,catalog-product-team,provisional-repository-inferred
workEffortManagerPermission,outbound-or-adapter-review-required,rmi,simple:component://workeffort/minilang/permission/WorkEffortPermissionServices.xml:workEffortManagerPermission,applications/workeffort/servicedef/services.xml,work-management,work-product-team,provisional-repository-inferred
workEffortGenericPermission,outbound-or-adapter-review-required,rmi,simple:component://workeffort/minilang/permission/WorkEffortPermissionServices.xml:workEffortGenericPermission,applications/workeffort/servicedef/services.xml,work-management,work-product-team,provisional-repository-inferred
timesheetUpdatePermission,outbound-or-adapter-review-required,rmi,simple:component://workeffort/minilang/permission/WorkEffortPermissionServices.xml:timesheetUpdatePermission,applications/workeffort/servicedef/services.xml,work-management,work-product-team,provisional-repository-inferred
createWorkEffortEmailAddress,outbound-or-adapter-review-required,email;mail,groovy:component://workeffort/src/main/groovy/org/apache/ofbiz/workeffort/workeffort/workeffort/WorkEffortServicesScript.groovy:createWorkEffortContactMech,applications/workeffort/servicedef/services.xml,work-management,work-product-team,provisional-repository-inferred
updateWorkEffortEmailAddress,outbound-or-adapter-review-required,email;mail,groovy:component://workeffort/src/main/groovy/org/apache/ofbiz/workeffort/workeffort/workeffort/WorkEffortServicesScript.groovy:updateWorkEffortContactMech,applications/workeffort/servicedef/services.xml,work-management,work-product-team,provisional-repository-inferred
workEffortICalendarPermission,outbound-or-adapter-review-required,rmi,simple:component://workeffort/minilang/permission/WorkEffortPermissionServices.xml:workEffortICalendarPermission,applications/workeffort/servicedef/services.xml,work-management,work-product-team,provisional-repository-inferred
commonGenericPermission,outbound-or-adapter-review-required,rmi,groovy:component://common/src/main/groovy/org/apache/ofbiz/common/CommonServicesScript.groovy:commonGenericPermission,framework/common/servicedef/services.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
commonGetAllCrudPermissions,outbound-or-adapter-review-required,rmi,groovy:component://common/src/main/groovy/org/apache/ofbiz/common/permission/CommonPermissionServices.groovy:getAllCrudPermissions,framework/common/servicedef/services.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
ftpInterface,outbound-or-adapter-review-required,ftp,interface,framework/common/servicedef/services.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
ftpPutFile,outbound-or-adapter-review-required,ftp,java:org.apache.ofbiz.common.FtpServices:putFile,framework/common/servicedef/services.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
ftpGetFile,outbound-or-adapter-review-required,ftp,java:org.apache.ofbiz.common.FtpServices:getFile,framework/common/servicedef/services.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
genericBasePermissionCheck,outbound-or-adapter-review-required,rmi,groovy:component://common/src/main/groovy/org/apache/ofbiz/common/permission/CommonPermissionServices.groovy:genericBasePermissionCheck,framework/common/servicedef/services.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
preferenceGetSetPermission,outbound-or-adapter-review-required,rmi,java:org.apache.ofbiz.common.preferences.PreferenceWorker:checkPermission,framework/common/servicedef/services.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
preferenceCopyPermission,outbound-or-adapter-review-required,rmi,java:org.apache.ofbiz.common.preferences.PreferenceWorker:checkCopyPermission,framework/common/servicedef/services.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
visualThemePermissionCheck,outbound-or-adapter-review-required,rmi,groovy:component://common/src/main/groovy/org/apache/ofbiz/common/permission/CommonPermissionServices.groovy:visualThemePermissionCheck,framework/common/servicedef/services.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
tempExprPermissionCheck,outbound-or-adapter-review-required,rmi,simple:component://common/minilang/permission/CommonPermissionServices.xml:genericBasePermissionCheck,framework/common/servicedef/services.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
sendMailInterface,outbound-or-adapter-review-required,mail,interface,framework/common/servicedef/services_email.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
sendMailOnePartInterface,outbound-or-adapter-review-required,mail,interface,framework/common/servicedef/services_email.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
sendMailMultiPartInterface,outbound-or-adapter-review-required,mail,interface,framework/common/servicedef/services_email.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
sendMail,outbound-or-adapter-review-required,email;mail,java:org.apache.ofbiz.common.email.EmailServices:sendMail,framework/common/servicedef/services_email.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
sendMailHiddenInLog,outbound-or-adapter-review-required,email;mail,java:org.apache.ofbiz.common.email.EmailServices:sendMail,framework/common/servicedef/services_email.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
sendMailMultiPart,outbound-or-adapter-review-required,email;mail,java:org.apache.ofbiz.common.email.EmailServices:sendMail,framework/common/servicedef/services_email.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
sendMailMultiPartHiddenInLog,outbound-or-adapter-review-required,email;mail,java:org.apache.ofbiz.common.email.EmailServices:sendMail,framework/common/servicedef/services_email.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
sendMailFromUrl,outbound-or-adapter-review-required,email;mail,java:org.apache.ofbiz.common.email.EmailServices:sendMailFromUrl,framework/common/servicedef/services_email.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
sendMailFromScreenInterface,outbound-or-adapter-review-required,mail,interface,framework/common/servicedef/services_email.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
sendMailFromScreen,outbound-or-adapter-review-required,email;mail,java:org.apache.ofbiz.common.email.EmailServices:sendMailFromScreen,framework/common/servicedef/services_email.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
sendMailHiddenInLogFromScreen,outbound-or-adapter-review-required,email;mail,java:org.apache.ofbiz.common.email.EmailServices:sendMailHiddenInLogFromScreen,framework/common/servicedef/services_email.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
sendMailFromTemplateSetting,outbound-or-adapter-review-required,email;mail,groovy:component://common/src/main/groovy/org/apache/ofbiz/common/email/EmailServicesScript.groovy:sendMailFromTemplateSetting,framework/common/servicedef/services_email.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
sendGenericNotificationEmail,outbound-or-adapter-review-required,email;mail,java:org.apache.ofbiz.common.email.NotificationServices:sendNotification,framework/common/servicedef/services_email.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
createEmailTemplateSetting,outbound-or-adapter-review-required,email;mail,entity-auto:create,framework/common/servicedef/services_email.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
updateEmailTemplateSetting,outbound-or-adapter-review-required,email;mail,entity-auto:update,framework/common/servicedef/services_email.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
deleteEmailTemplateSetting,outbound-or-adapter-review-required,email;mail,entity-auto:delete,framework/common/servicedef/services_email.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
getDkimDnsRecord,outbound-or-adapter-review-required,email;mail,java:org.apache.ofbiz.common.email.EmailServices:getDkimDnsRecord,framework/common/servicedef/services_email.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
createSecurityPermission,outbound-or-adapter-review-required,rmi,entity-auto:create,framework/common/servicedef/services_security.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
updateSecurityPermission,outbound-or-adapter-review-required,rmi,entity-auto:update,framework/common/servicedef/services_security.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
addSecurityPermissionToSecurityGroup,outbound-or-adapter-review-required,rmi,entity-auto:create,framework/common/servicedef/services_security.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
updateSecurityPermissionToSecurityGroup,outbound-or-adapter-review-required,rmi,entity-auto:update,framework/common/servicedef/services_security.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
expireSecurityPermissionToSecurityGroup,outbound-or-adapter-review-required,rmi,entity-auto:expire,framework/common/servicedef/services_security.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
removeSecurityPermissionFromSecurityGroup,outbound-or-adapter-review-required,rmi,entity-auto:delete,framework/common/servicedef/services_security.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
securityPermissionCheck,outbound-or-adapter-review-required,rmi,simple:component://common/minilang/permission/CommonPermissionServices.xml:genericBasePermissionCheck,framework/common/servicedef/services_security.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
testSOAPScv,outbound-or-adapter-review-required,soap,java:org.apache.ofbiz.common.CommonServices:testSOAPService,framework/common/servicedef/services_test.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
localhostClearAllEntityCaches,outbound-or-adapter-review-required,http,http:eedcc-test:clearAllEntityCaches,framework/entityext/servicedef/services.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
localhostClearCacheLineByValue,outbound-or-adapter-review-required,http,http:eedcc-test:clearCacheLineByValue,framework/entityext/servicedef/services.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
localhostClearCacheLineByDummyPK,outbound-or-adapter-review-required,http,http:eedcc-test:clearCacheLineByDummyPK,framework/entityext/servicedef/services.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
localhostClearCacheLineByPrimaryKey,outbound-or-adapter-review-required,http,http:eedcc-test:clearCacheLineByPrimaryKey,framework/entityext/servicedef/services.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
remoteStoreEntitySyncDataHttp,outbound-or-adapter-review-required,http,http:entity-sync-http:storeEntitySyncData,framework/entityext/servicedef/services.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
remoteStoreEntitySyncDataRmi,outbound-or-adapter-review-required,rmi,rmi:entity-sync-rmi:storeEntitySyncData,framework/entityext/servicedef/services.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
remotePullAndReportEntitySyncDataHttp,outbound-or-adapter-review-required,http,http:entity-sync-http:pullAndReportEntitySyncData,framework/entityext/servicedef/services.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
remotePullAndReportEntitySyncDataRmi,outbound-or-adapter-review-required,rmi,rmi:entity-sync-rmi:pullAndReportEntitySyncData,framework/entityext/servicedef/services.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
entitySyncPermissionCheck,outbound-or-adapter-review-required,rmi,groovy:component://entityext/src/main/groovy/org/apache/ofbiz/entityext/EntitySyncServices.groovy:entitySyncPermissionCheck,framework/entityext/servicedef/services.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
permissionInterface,outbound-or-adapter-review-required,rmi,interface,framework/service/servicedef/services.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
mailProcessInterface,outbound-or-adapter-review-required,mail,interface,framework/service/servicedef/services.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
testSimplePermission,outbound-or-adapter-review-required,rmi,java:org.apache.ofbiz.service.test.ServiceEngineTestPermissionServices:genericTestService,framework/service/servicedef/services_test_se.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
testSimpleServicePermission,outbound-or-adapter-review-required,rmi,java:org.apache.ofbiz.service.test.ServiceEngineTestPermissionServices:genericTestService,framework/service/servicedef/services_test_se.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
testSimpleGroupAndPermission,outbound-or-adapter-review-required,rmi,java:org.apache.ofbiz.service.test.ServiceEngineTestPermissionServices:genericTestService,framework/service/servicedef/services_test_se.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
testSimpleGroupOrPermission,outbound-or-adapter-review-required,rmi,java:org.apache.ofbiz.service.test.ServiceEngineTestPermissionServices:genericTestService,framework/service/servicedef/services_test_se.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
testServicePermissionWithTransaction,outbound-or-adapter-review-required,rmi,java:org.apache.ofbiz.service.test.ServiceEngineTestPermissionServices:genericTestService,framework/service/servicedef/services_test_se.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
testPermissionPing,outbound-or-adapter-review-required,rmi,java:org.apache.ofbiz.service.test.ServiceEngineTestPermissionServices:testPermissionPing,framework/service/servicedef/services_test_se.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
testPermissionExistingTesting,outbound-or-adapter-review-required,rmi,java:org.apache.ofbiz.service.test.ServiceEngineTestPermissionServices:testPermissionExistingTesting,framework/service/servicedef/services_test_se.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
